,PLAT,NET,NAME,REPTYPE,LAT,LON,CLIMATE SUMMARY,AVAILABILITY,STATION OPS,OP MODE,TYPE,MOVING
37,SABE,ICAO,AEROPARQUE JORGE NEWBERY,METAR,-34.559175,-58.415606,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
38,SBCT,ICAO,AFONSO PENA,METAR,-25.528475,-49.175775,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
39,KAFO,ICAO,AFTON MUNI,METAR,42.711247,-110.942164,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
40,LTAH,ICAO,AFYON,METAR,38.726425,30.601114000000003,JMCLIM,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
41,DRZA,ICAO,AGADEZ,METAR,16.966666600000003,7.9666666,LIMCLIM,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
42,VEAT,ICAO,AGARTALA,METAR,23.886978,91.24045,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
43,VOAT,ICAO,AGATTI,METAR,10.823656,72.17604200000001,UNAVAILABLE,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
44,OIAG,ICAO,AGHAJARI,METAR,30.74545,49.676261,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
45,VIAG,ICAO,AGRA,METAR,27.155831,77.960892,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
46,WAHS,ICAO,AHMAD YANI INTL,METAR,-6.9833333,110.3833333,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
47,VAAH,ICAO,AHMEDABAD,METAR,23.077242,72.63465,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
48,OIAW,ICAO,AHWAZ,METAR,31.337444,48.762138,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
49,LOXA,ICAO,AIGEN/ENNSTAL (MIL),METAR,47.5333333,14.133333300000002,UNAVAILABLE,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
50,KAIK,ICAO,AIKEN MUNI,METAR,33.649444,-81.685,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
51,KANW,ICAO,AINSWORTH MUNI,METAR,42.5833333,-100.0,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
52,KILN,ICAO,AIRBORNE AIRPARK,METAR,39.427919,-83.792119,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
